track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,965.783,988.577,-6.7,0.492,3.068,4.15,1.72
1,2,200,car,965.113,988.626,-6.701,0.489,3.069,4.15,1.72
1,3,300,car,964.443,988.674,-6.692,0.485,3.069,4.15,1.72
1,4,400,car,963.773,988.722,-6.67,0.48,3.07,4.15,1.72
1,5,500,car,963.106,988.77,-6.634,0.474,3.07,4.15,1.72
1,6,600,car,962.443,988.816,-6.583,0.467,3.071,4.15,1.72
1,7,700,car,961.784,988.862,-6.518,0.458,3.071,4.15,1.72
1,8,800,car,961.133,988.907,-6.438,0.449,3.072,4.15,1.72
1,9,900,car,960.489,988.952,-6.345,0.439,3.072,4.15,1.72
1,10,1000,car,959.854,988.995,-6.241,0.429,3.073,4.15,1.72
1,11,1100,car,959.23,989.038,-6.127,0.419,3.073,4.15,1.72
1,12,1200,car,958.617,989.079,-6.005,0.409,3.074,4.15,1.72
1,13,1300,car,958.017,989.12,-5.876,0.4,3.074,4.15,1.72
1,14,1400,car,957.429,989.16,-5.744,0.391,3.074,4.15,1.72
1,15,1500,car,956.855,989.199,-5.609,0.382,3.074,4.15,1.72
1,16,1600,car,956.294,989.238,-5.476,0.374,3.073,4.15,1.72
1,17,1700,car,955.746,989.275,-5.345,0.367,3.073,4.15,1.72
1,18,1800,car,955.212,989.313,-5.22,0.36,3.073,4.15,1.72
1,19,1900,car,954.69,989.349,-5.102,0.354,3.072,4.15,1.72
1,20,2000,car,954.18,989.385,-4.994,0.349,3.072,4.15,1.72
1,21,2100,car,953.68,989.421,-4.897,0.346,3.071,4.15,1.72
1,22,2200,car,953.191,989.457,-4.811,0.343,3.071,4.15,1.72
1,23,2300,car,952.71,989.492,-4.739,0.341,3.07,4.15,1.72
1,24,2400,car,952.236,989.527,-4.679,0.34,3.069,4.15,1.72
1,25,2500,car,951.768,989.561,-4.633,0.34,3.068,4.15,1.72
1,26,2600,car,951.305,989.596,-4.6,0.34,3.068,4.15,1.72
1,27,2700,car,950.845,989.631,-4.579,0.342,3.067,4.15,1.72
1,28,2800,car,950.387,989.666,-4.567,0.344,3.066,4.15,1.72
1,29,2900,car,949.93,989.702,-4.563,0.347,3.066,4.15,1.72
1,30,3000,car,949.474,989.737,-4.563,0.351,3.065,4.15,1.72
2,1,100,car,1004.029,987.369,-5.109,0.111,3.12,4.69,1.79
2,2,200,car,1003.518,987.378,-5.118,0.105,3.121,4.69,1.79
2,3,300,car,1003.006,987.386,-5.132,0.099,3.122,4.69,1.79
2,4,400,car,1002.493,987.394,-5.15,0.093,3.124,4.69,1.79
2,5,500,car,1001.978,987.401,-5.172,0.085,3.125,4.69,1.79
2,6,600,car,1001.461,987.407,-5.198,0.077,3.127,4.69,1.79
2,7,700,car,1000.941,987.413,-5.228,0.069,3.128,4.69,1.79
2,8,800,car,1000.418,987.417,-5.261,0.059,3.13,4.69,1.79
2,9,900,car,999.892,987.42,-5.297,0.049,3.132,4.69,1.79
2,10,1000,car,999.362,987.421,-5.335,0.038,3.134,4.69,1.79
2,11,1100,car,998.829,987.422,-5.375,0.026,3.137,4.69,1.79
2,12,1200,car,998.291,987.421,-5.417,0.014,3.139,4.69,1.79
2,13,1300,car,997.749,987.419,-5.462,0.002,3.141,4.69,1.79
2,14,1400,car,997.203,987.416,-5.508,-0.011,-3.14,4.69,1.79
2,15,1500,car,996.652,987.412,-5.557,-0.024,-3.137,4.69,1.79
2,16,1600,car,996.097,987.406,-5.608,-0.036,-3.135,4.69,1.79
2,17,1700,car,995.536,987.4,-5.662,-0.048,-3.133,4.69,1.79
2,18,1800,car,994.97,987.392,-5.719,-0.059,-3.131,4.69,1.79
2,19,1900,car,994.398,987.384,-5.778,-0.068,-3.13,4.69,1.79
2,20,2000,car,993.82,987.376,-5.839,-0.075,-3.129,4.69,1.79
2,21,2100,car,993.236,987.367,-5.902,-0.081,-3.128,4.69,1.79
2,22,2200,car,992.646,987.358,-5.967,-0.084,-3.128,4.69,1.79
2,23,2300,car,992.049,987.35,-6.033,-0.085,-3.128,4.69,1.79
2,24,2400,car,991.446,987.342,-6.099,-0.082,-3.128,4.69,1.79
2,25,2500,car,990.836,987.335,-6.166,-0.077,-3.129,4.69,1.79
2,26,2600,car,990.219,987.329,-6.231,-0.068,-3.131,4.69,1.79
2,27,2700,car,989.596,987.325,-6.296,-0.056,-3.133,4.69,1.79
2,28,2800,car,988.966,987.323,-6.36,-0.041,-3.135,4.69,1.79
2,29,2900,car,988.33,987.324,-6.421,-0.022,-3.138,4.69,1.79
2,30,3000,car,987.688,987.326,-6.481,-0.0,-3.142,4.69,1.79
2,31,3100,car,987.04,987.332,-6.54,0.025,3.138,4.69,1.79
2,32,3200,car,986.386,987.34,-6.596,0.053,3.134,4.69,1.79
2,33,3300,car,985.726,987.353,-6.651,0.085,3.129,4.69,1.79
2,34,3400,car,985.061,987.368,-6.703,0.12,3.124,4.69,1.79
2,35,3500,car,984.391,987.388,-6.754,0.157,3.118,4.69,1.79
2,36,3600,car,983.716,987.413,-6.802,0.198,3.112,4.69,1.79
2,37,3700,car,983.036,987.441,-6.846,0.241,3.106,4.69,1.79
2,38,3800,car,982.352,987.475,-6.886,0.287,3.1,4.69,1.79
2,39,3900,car,981.664,987.513,-6.919,0.334,3.093,4.69,1.79
2,40,4000,car,980.973,987.557,-6.944,0.383,3.087,4.69,1.79
2,41,4100,car,980.279,987.605,-6.961,0.432,3.08,4.69,1.79
2,42,4200,car,979.583,987.658,-6.967,0.48,3.073,4.69,1.79
2,43,4300,car,978.887,987.716,-6.963,0.527,3.066,4.69,1.79
2,44,4400,car,978.192,987.779,-6.946,0.571,3.06,4.69,1.79
2,45,4500,car,977.498,987.845,-6.919,0.611,3.053,4.69,1.79
2,46,4600,car,976.807,987.914,-6.88,0.647,3.048,4.69,1.79
2,47,4700,car,976.12,987.986,-6.831,0.678,3.043,4.69,1.79
2,48,4800,car,975.437,988.061,-6.772,0.703,3.038,4.69,1.79
2,49,4900,car,974.761,988.137,-6.706,0.722,3.034,4.69,1.79
2,50,5000,car,974.09,988.213,-6.634,0.735,3.031,4.69,1.79
2,51,5100,car,973.427,988.29,-6.557,0.742,3.029,4.69,1.79
2,52,5200,car,972.772,988.367,-6.478,0.744,3.027,4.69,1.79
2,53,5300,car,972.124,988.442,-6.4,0.741,3.026,4.69,1.79
2,54,5400,car,971.484,988.516,-6.322,0.734,3.026,4.69,1.79
2,55,5500,car,970.852,988.589,-6.247,0.723,3.026,4.69,1.79
2,56,5600,car,970.226,988.66,-6.176,0.71,3.027,4.69,1.79
2,57,5700,car,969.609,988.729,-6.108,0.696,3.028,4.69,1.79
2,58,5800,car,968.997,988.797,-6.043,0.68,3.03,4.69,1.79
2,59,5900,car,968.393,988.862,-5.981,0.663,3.031,4.69,1.79
2,60,6000,car,967.794,988.926,-5.92,0.646,3.033,4.69,1.79
2,61,6100,car,967.202,988.988,-5.857,0.629,3.035,4.69,1.79
2,62,6200,car,966.616,989.048,-5.79,0.612,3.036,4.69,1.79
2,63,6300,car,966.037,989.107,-5.716,0.596,3.038,4.69,1.79
2,64,6400,car,965.465,989.165,-5.631,0.579,3.039,4.69,1.79
2,65,6500,car,964.902,989.221,-5.533,0.563,3.04,4.69,1.79
2,66,6600,car,964.348,989.276,-5.418,0.546,3.041,4.69,1.79
2,67,6700,car,963.806,989.329,-5.284,0.528,3.042,4.69,1.79
2,68,6800,car,963.278,989.381,-5.13,0.509,3.043,4.69,1.79
2,69,6900,car,962.765,989.431,-4.957,0.489,3.043,4.69,1.79
2,70,7000,car,962.269,989.48,-4.765,0.468,3.044,4.69,1.79
2,71,7100,car,961.792,989.526,-4.556,0.445,3.044,4.69,1.79
2,72,7200,car,961.337,989.57,-4.335,0.421,3.045,4.69,1.79
2,73,7300,car,960.903,989.612,-4.104,0.396,3.045,4.69,1.79
2,74,7400,car,960.493,989.65,-3.869,0.37,3.046,4.69,1.79
2,75,7500,car,960.106,989.686,-3.634,0.344,3.047,4.69,1.79
2,76,7600,car,959.742,989.719,-3.403,0.318,3.048,4.69,1.79
2,77,7700,car,959.402,989.748,-3.182,0.293,3.05,4.69,1.79
2,78,7800,car,959.083,989.775,-2.975,0.269,3.051,4.69,1.79
2,79,7900,car,958.785,989.799,-2.784,0.247,3.053,4.69,1.79
2,80,8000,car,958.507,989.821,-2.612,0.227,3.055,4.69,1.79
2,81,8100,car,958.245,989.84,-2.462,0.209,3.057,4.69,1.79
2,82,8200,car,957.999,989.858,-2.336,0.194,3.059,4.69,1.79
2,83,8300,car,957.765,989.874,-2.232,0.181,3.061,4.69,1.79
2,84,8400,car,957.541,989.889,-2.152,0.17,3.063,4.69,1.79
2,85,8500,car,957.326,989.903,-2.094,0.162,3.064,4.69,1.79
2,86,8600,car,957.116,989.916,-2.058,0.155,3.066,4.69,1.79
2,87,8700,car,956.91,989.929,-2.041,0.151,3.068,4.69,1.79
2,88,8800,car,956.706,989.942,-2.042,0.147,3.07,4.69,1.79
2,89,8900,car,956.501,989.954,-2.059,0.145,3.071,4.69,1.79
2,90,9000,car,956.295,989.966,-2.091,0.145,3.073,4.69,1.79
2,91,9100,car,956.086,989.979,-2.135,0.145,3.074,4.69,1.79
2,92,9200,car,955.873,989.991,-2.19,0.145,3.075,4.69,1.79
2,93,9300,car,955.653,990.004,-2.253,0.147,3.077,4.69,1.79
2,94,9400,car,955.428,990.017,-2.324,0.148,3.078,4.69,1.79
2,95,9500,car,955.195,990.03,-2.401,0.15,3.079,4.69,1.79
2,96,9600,car,954.955,990.043,-2.481,0.153,3.08,4.69,1.79
2,97,9700,car,954.707,990.057,-2.563,0.155,3.081,4.69,1.79
2,98,9800,car,954.451,990.071,-2.647,0.158,3.082,4.69,1.79
2,99,9900,car,954.186,990.086,-2.73,0.162,3.082,4.69,1.79
2,100,10000,car,953.913,990.101,-2.812,0.165,3.083,4.69,1.79
2,101,10100,car,953.632,990.117,-2.89,0.169,3.083,4.69,1.79
2,102,10200,car,953.342,990.133,-2.964,0.173,3.083,4.69,1.79
2,103,10300,car,953.046,990.151,-3.033,0.177,3.083,4.69,1.79
2,104,10400,car,952.743,990.168,-3.095,0.181,3.083,4.69,1.79
2,105,10500,car,952.433,990.187,-3.15,0.186,3.083,4.69,1.79
2,106,10600,car,952.118,990.206,-3.197,0.191,3.082,4.69,1.79
2,107,10700,car,951.798,990.226,-3.235,0.196,3.081,4.69,1.79
2,108,10800,car,951.475,990.247,-3.265,0.2,3.08,4.69,1.79
2,109,10900,car,951.148,990.268,-3.286,0.205,3.079,4.69,1.79
2,110,11000,car,950.82,990.29,-3.3,0.209,3.078,4.69,1.79
2,111,11100,car,950.49,990.313,-3.307,0.213,3.077,4.69,1.79
2,112,11200,car,950.159,990.335,-3.31,0.216,3.076,4.69,1.79
