recordingId,trackId,initialFrame,finalFrame,numFrames,width,length,class
1,0,0,55,56,2.1324,4.9899,car
1,1,0,93,94,2.1734,4.5588,car
1,2,0,94,95,3.0140,7.7568,truck
1,3,0,98,99,2.0445,4.9103,car
1,4,0,141,142,1.9555,4.2158,car
1,5,0,158,159,2.7625,5.3803,car
1,6,0,195,196,2.0882,4.9144,car
1,7,0,205,206,2.4783,5.6042,truck
1,8,0,219,220,1.9488,4.1210,car
1,9,0,280,281,2.0485,4.2475,car
1,10,0,286,287,2.0231,4.4470,car
1,11,0,318,319,1.9676,4.5050,car
1,12,0,333,334,2.1013,4.9274,car
1,13,0,340,341,2.0192,4.5022,car
1,14,0,388,389,2.6092,6.2619,van
1,15,0,472,473,2.6221,6.1919,car
1,16,4,363,360,1.9926,4.5587,car
1,17,4,369,366,1.8615,3.7673,car
1,18,9,507,499,1.9974,4.1798,car
1,19,20,435,416,2.3301,8.8179,car
1,20,25,342,318,2.0104,4.1964,car
1,21,27,383,357,2.0332,4.6775,car
1,22,27,522,496,2.4073,5.4567,car
1,23,37,490,454,1.9774,3.8116,car
1,24,44,555,512,2.0482,4.8029,car
1,25,52,350,299,1.8825,4.1088,car
1,26,55,411,357,2.0817,5.0852,car
1,27,58,535,478,2.1947,4.9787,car
1,28,67,392,326,1.9355,4.4187,car
1,29,82,463,382,1.9560,3.8376,car
1,30,83,442,360,2.0246,4.5193,car
1,31,118,491,374,2.0763,4.8720,car
1,32,132,578,447,1.9728,4.1104,car
1,33,160,607,448,2.2099,5.2986,car
1,34,177,516,340,2.1234,4.9795,car
1,35,201,572,372,1.9069,3.7879,car
1,36,202,628,427,1.9406,4.2974,car
1,37,214,602,389,2.1522,5.1581,car
1,38,255,538,284,1.9751,3.8541,car
1,39,277,556,280,2.0385,4.8517,car
1,40,277,642,366,2.0271,4.6401,car
1,41,279,576,298,2.0861,4.9881,car
1,42,283,637,355,2.0514,4.3001,car
1,43,290,684,395,2.0658,4.7110,car
1,44,306,634,329,2.1331,5.2912,car
1,45,324,659,336,2.0525,4.7746,car
1,46,330,744,415,1.9674,4.1499,car
1,47,343,647,305,2.1016,4.9229,car
1,48,366,687,322,2.0017,4.5385,car
1,49,369,774,406,1.9801,4.1924,car
1,50,383,745,363,1.8522,2.8891,car
1,51,407,733,327,1.9987,4.1388,car
1,52,410,813,404,1.9006,3.9154,car
1,53,413,687,275,2.2083,4.9838,car
1,54,458,779,322,1.9130,3.7707,car
1,55,472,915,444,2.0446,4.3565,car
1,56,490,826,337,2.0253,4.5251,car
1,57,501,892,392,1.9591,4.2240,car
1,58,525,948,424,2.0406,4.9709,car
1,59,528,857,330,2.5466,6.2473,van
1,60,542,977,436,2.0298,4.9302,car
1,61,564,938,375,2.0614,4.5388,car
1,62,583,1010,428,1.9927,3.9854,car
1,63,597,941,345,2.5050,6.4207,van
1,64,603,1045,443,2.0163,4.3838,car
1,65,606,969,364,2.1186,5.1715,car
1,66,624,1006,383,2.0244,4.4819,car
1,67,636,942,307,2.1977,5.0096,car
1,68,711,1049,339,1.9000,3.8243,car
1,69,711,1054,344,1.9612,3.9266,car
1,70,766,1174,409,1.9943,4.5826,car
1,71,791,1124,334,2.1028,5.2767,car
1,72,797,1180,384,2.4467,6.1752,car
1,73,819,1158,340,1.9501,4.3350,car
