id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,4.85,2.12,1,33,33,Car,2,52.25,40.85,41.30,41.07,-1.00,-1.00,-1.00,0
2,4.24,1.92,1,130,130,Car,1,167.44,32.04,32.90,32.48,112.62,3.51,-1.00,0
3,3.94,1.92,1,157,157,Car,2,225.23,35.69,36.50,36.13,90.31,2.53,-1.00,0
4,5.05,2.22,1,161,161,Car,1,273.49,42.57,42.83,42.76,-1.00,-1.00,-1.00,0
5,4.24,1.82,1,182,182,Car,1,313.92,42.50,44.26,43.40,33.64,0.76,24.53,0
6,11.82,2.50,1,185,185,Truck,2,171.48,23.25,23.40,23.33,-1.00,-1.00,-1.00,0
7,4.75,2.02,1,195,195,Car,2,262.00,32.59,34.65,33.80,25.78,0.79,-1.00,0
8,5.76,2.43,1,197,197,Car,1,245.39,31.10,31.52,31.31,72.05,2.29,-1.00,0
9,4.85,2.02,1,223,223,Car,1,323.25,35.99,36.62,36.42,33.68,0.92,9.74,1
10,9.20,2.50,1,232,232,Truck,2,210.46,22.17,23.38,22.78,31.04,1.32,298.90,0
11,4.14,1.92,1,235,235,Car,2,231.76,23.86,26.90,24.79,7.44,0.30,3.16,1
12,3.64,1.82,1,283,283,Car,2,401.02,33.04,36.69,35.57,60.64,1.77,7.57,0
13,5.66,2.02,2,29,28,Car,1,41.54,38.53,39.24,38.87,-1.00,-1.00,-1.00,0
14,4.95,1.92,2,83,82,Car,2,136.21,41.49,42.91,42.14,80.52,1.92,125.18,0
15,3.64,1.72,42,331,290,Car,2,410.36,34.94,35.88,35.52,64.11,1.81,31.52,0
16,4.55,2.02,84,354,271,Car,1,409.84,37.56,38.33,37.96,201.16,5.26,34.15,0
17,4.24,1.92,89,319,231,Car,1,408.89,43.33,44.89,44.47,164.40,3.69,19.93,0
18,4.14,1.82,135,467,333,Car,1,408.83,29.24,31.54,30.79,72.93,2.33,-1.00,0
19,5.26,2.12,179,460,282,Car,2,410.45,35.95,36.79,36.54,328.03,9.01,23.05,0
20,4.75,1.92,243,553,311,Car,2,410.61,32.81,33.47,33.13,87.08,2.60,-1.00,0
21,4.55,1.92,266,577,312,Car,2,410.68,32.32,34.87,33.03,23.54,0.70,17.64,0
22,7.98,2.50,280,697,418,Truck,1,408.52,24.32,24.66,24.50,20.82,0.85,-1.00,0
23,5.26,2.32,331,653,323,Car,1,401.88,30.80,31.58,31.21,-1.00,-1.00,-1.00,1
24,12.03,2.50,340,758,419,Truck,1,408.89,24.19,24.58,24.46,47.12,1.92,505.90,0
25,4.65,1.92,342,597,256,Car,2,408.89,37.92,41.22,40.11,-1.00,-1.00,-1.00,0
26,4.95,2.32,357,731,375,Car,2,410.17,26.78,28.05,27.43,118.17,4.41,-1.00,0
27,5.15,2.22,374,789,416,Car,1,410.45,24.14,25.25,24.74,24.92,0.99,28.79,0
28,2.83,1.82,394,688,295,Car,1,401.96,32.83,34.74,34.19,43.55,1.29,15.05,0
29,4.24,1.92,431,741,311,Car,1,410.03,32.82,33.21,33.08,49.67,1.51,356.32,0
30,5.26,2.32,460,785,326,Car,1,408.53,30.82,31.73,31.44,42.13,1.33,6.80,1
31,4.55,1.92,523,782,260,Car,2,403.22,38.72,39.23,38.95,82.60,2.12,7.58,1
32,4.85,2.22,559,868,310,Car,1,408.08,31.70,35.27,33.03,101.56,3.14,34.93,0
33,16.57,2.50,569,1012,444,Truck,2,409.77,22.62,23.50,23.13,53.50,2.36,-1.00,0
34,3.84,1.82,632,950,319,Car,1,409.84,31.60,33.68,32.23,202.44,6.40,28.33,0
35,11.82,2.50,638,1078,441,Truck,2,409.87,22.57,23.68,23.29,51.13,2.16,303.07,0
36,3.94,1.82,652,929,278,Car,1,410.95,36.48,37.50,37.11,84.12,2.29,16.72,0
37,3.64,1.92,678,956,279,Car,1,408.96,36.41,37.61,36.80,34.00,0.93,46.20,0
